醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,開賣,備註
2344050015,澎湖縣望安鄉衛生所,澎湖縣望安鄉西安村３６－７號,119.4972,23.36161,(06)9991036,0,夜間急診。快篩試劑販售時間為:每日08:00-12:00、13:30-17:30售完為止，如有餘數為離島未售出（東嶼坪、花嶼）。
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,119.5216,23.3615,(06)9902066,0,無
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內５４號,119.431,23.2041,(06)9971005,0,國定假日只有上午和下午診
2345080017,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,121.5215,23.60195,(03)8358141,0,*本院口罩每天販售，時間自上午8點至晚上9點  *本院週一至週五上下午皆有門診，星期六隔週提供門診，及24小時急診。
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路２０３號,121.2491,23.17847,(03)8831029,0,無
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,121.6334,24.1269,(03)8612122,0,國定假日休診
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１鄰１６號,121.4092,23.71558,(03)8751651,0,無
2345130012,花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路６５號,121.3033,23.33294,(03)8882592,0,快篩試劑代售時間：週一至週五上午8：30-11：00（售完即結束），另巡迴醫療時段少量販售。
2346050013,臺東縣大武鄉衛生所,臺東縣大武鄉大武村復興路２－２號,120.9078,22.36414,(089)791143,0,無
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,121.3031,22.96846,(089)896289,0,快篩試劑販售時間:◆平日（星期一三四五）上午8:30-10:30時販售，星期二下午13-15時販售售完為止。
2346110014,台東縣綠島鄉衛生所,臺東縣綠島鄉中寮村１－１號,121.4696,22.67319,(089)672511,0,家用快篩實名制，販售時段為08:30至12:00（周一至周五，遇國定假日暫停）
2346120010,臺東縣延平鄉衛生所,臺東縣延平鄉桃源村昇平路１１號,121.0855,22.90217,(089)561358,0,凡遇國定假日休診，販售快篩試劑為星期一至星期五上午8:30-11:00下午13:30-16:00休診期間無販售
2346130016,臺東縣海端鄉衛生所,臺東縣海端鄉海端村３鄰２９號,121.1767,23.10094,(089)931391,0,星期一至星期五家用快篩試劑販售時間上午8點~9點（售完為止）
2346140012,臺東縣達仁鄉衛生所,臺東縣達仁鄉安朔村復興路１２２號,120.8836,22.29488,(089)702209,0,9／9休診
2346150018,台東縣金峰鄉衛生所,臺東縣金峰鄉賓茂村１鄰１４號,120.9606,22.53248,(089)772201,0,無
2346160014,台東縣蘭嶼鄉衛生所,臺東縣蘭嶼鄉紅頭村３６號,121.5546,22.02493,(089)732575,0,販售快篩時間 星期一至星期五 8:30~12:00 13:30~17:30
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯２之１號,118.3374,24.44479,(082)325735,0,購買或領取65歲以上／6歲以下免費快篩於週一至週五上班日上午8:00~17:00
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方６－５號,118.2395,24.43519,(082)362078,0,門診時間:周一至周五上午8點至12點
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２８１－６號,119.9991,26.22617,(083)655592,0,無
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,119.9331,25.97157,(083)689122,0,無
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,119.9731,25.96113,(083)689038,0,無
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村１２３號,120.4904,26.36701,(083)677206,0,無
5901010076,榮星藥局,臺北市松山區南京東路４段１３３巷５弄１號,121.5552,25.05214,(02)27124696,0,無
5901010094,明一藥局,臺北市松山區南京東路５段５９巷２８弄２５號１樓,121.5582,25.0527,(02)27691654,0,AM10: ~~PM9:00
5901010165,傑安藥局,臺北市松山區八德路２段４３７巷７弄８號１樓,121.5473,25.04914,(02)27524155,0,9:30開始發號碼牌
5901010174,仁弘藥局,臺北市松山區民生東路３段１１３巷２５弄６號１樓,121.5466,25.05948,(02)27136764,0,早上九點開始發放快篩.
5901010192,益華藥局,臺北市松山區民生東路５段１３８巷６號,121.5615,25.05827,(02)27624898,0,無
5901010272,德靈藥局,臺北市松山區富錦街５４８號,121.5667,25.06178,(02)27646998,0,無
5901010290,健全藥局,臺北市松山區民權東路３段１０３巷２０號,121.5449,25.06327,(02)27128293,0,無
5901010496,瑞昌大藥局,臺北市松山區民權東路３段１０３巷１０號,121.5449,25.06298,(02)27151881,0,無
5901010576,合生藥局,臺北市松山區南京東路５段１２３巷４５號１樓,121.5607,25.05364,(02)27602932,0,無
5901011699,建東大藥局,臺北市松山區三民路９７號１樓,121.5634,25.05723,(02)27676237,0,周日公休
5901011975,萬泰藥局,臺北市松山區敦化北路２２２巷３８號,121.5471,25.05994,(02)27135891,0,每日早上9.00販售快篩試劑
5901012203,博荃藥局,臺北市松山區敦化北路４巷５１號,121.5447,25.05006,(02)27316736,0,連假期間皆休診 !
5901012409,家音藥局,臺北市松山區民生東路５段７３號,121.5585,25.05871,(02)37652080,0,無
5901012516,惠登藥局,臺北市松山區民生東路３段１３０巷３４號,121.5461,25.0562,(02)25472432,0,無
5901012561,松田藥局,臺北市松山區延吉街９－６號,121.5536,25.04701,(02)25798005,0,無
5901012570,予志藥局,臺北市松山區富錦街５２１號,121.5649,25.06119,(02)27623522,0,營業時間: 星期一到星期六早上9點到晚上9:30、星期天早上9點到晚上6點
5901012598,婕登藥局,臺北市松山區八德路４段６９９號,121.5766,25.05021,(02)27482893,0,無
5901012632,晨安藥局,臺北市松山區八德路３段１５５巷２０弄２號,121.5553,25.04914,(02)25798460,0,快篩實名制販售時間:平日下午3點-假日下午1點；現場販售，不抽號碼牌。端午連假，不販售快篩。
5901012650,銘德藥局,臺北市松山區八德路２段３６６巷２８號,121.5459,25.04724,(02)27511833,0,實名制快篩早上十點開始販售，星期天販售時間另行公告
5901012712,立康大藥局,臺北市松山區八德路四段２－１號,121.5581,25.04812,(02)27471749,0,無
5901012749,躍獅松和藥局,臺北市松山區八德路四段６６６－１號,121.5761,25.04979,(02)27492569,0,實名制快篩販售／發放時段，13:00~21:30
5901012758,京東藥局,臺北市松山區南京東路五段２７２號,121.5669,25.05114,(02)27679503,0,依每日到貨狀況， 每日下午1點發放實名制快篩
5901012767,晨新藥局,臺北市松山區八德路４段９１巷１－１號,121.5608,25.04894,(02)27422951,0,無
5901012918,躍獅京華藥局,臺北市松山區南京東路５段７１號,121.5596,25.05172,(02)27666508,0,實名制快篩販售時間：每日營業時間09:00-22:00皆有販售
5901012963,綠之家藥局,臺北市松山區延壽街４２８號,121.5562,25.0562,(02)25289595,0,禮拜日不販售快篩
5901013095,康采藥局,臺北市松山區南京東路５段２９１巷１７－２號,121.5663,25.05236,(02)27670271,0,2／12公休，2／26公休
5901013120,誠康中西藥局,臺北市松山區南京東路５段５９巷３１弄４３號,121.5607,25.05346,(02)27619679,0,禮拜一到日早上7點發快篩~
5901013148,唯康藥局,臺北市松山區八德路３段２１１號,121.5566,25.0482,(02)25775000,0,無
5901013175,台北長庚維康藥局,臺北市松山區敦化北路１９９巷２弄５號１樓,121.55,25.05563,(02)27199386,0,無
5901013200,專品南京藥局,臺北市松山區南京東路４段７３號,121.5532,25.05185,(02)25147685,0,無
5901013308,立赫敦北藥局,臺北市松山區敦化北路２２２巷２０號,121.5477,25.05945,(02)27199277,0,無
5901013362,啄木鳥藥局,臺北市松山區八德路４段２０９號、２１１號（１、２層）,121.564,25.04894,(02)27422413,0,無
5901013371,玖田藥局,臺北市松山區八德路４段６５５號,121.5755,25.05018,(02)27666578,0,無
5901013380,澄馨藥局,臺北市松山區三民路３７號,121.5635,25.0558,(02)27420159,0,無
5901013399,一安正昇藥局,臺北市松山區南京東路５段３０９號,121.5667,25.05155,(02)27680993,0,早上8.30-晚上21.50
5901013442,松山八德藥局,臺北市松山區八德路２段４００號,121.5466,25.04804,(02)27782773,0,無
5901013451,新德大藥局,臺北市松山區饒河街２０４號,121.577,25.05074,(02)27673402,0,周一至周六上午九點開賣；快篩實名制（周日休息）
5901013504,杏一台北長庚藥局,臺北市松山區敦化北路１９９巷２弄３號,121.55,25.05569,(02)25149463,0,無
5901013513,立赫民生藥局,臺北市松山區民生東路４段７２號,121.5524,25.05787,(02)27139200,0,無
5901013586,安禾大藥局,臺北市松山區撫遠街３８２號,121.5656,25.06443,(02)27602952,0,無
5901013595,巧心藥局,臺北市松山區八德路３段１２巷５７弄３９之３號１樓,121.5521,25.04567,(02)25703728,0,無
5901013620,躍獅敦北藥局,臺北市松山區民生東路４段８０巷５號１樓,121.5531,25.05713,(02)27155691,0,實名制快篩販售時間PM14:30 本店會預留28份供及人大廈住戶購買 剩餘數量供現場民眾排隊購買（14:30開始販購）
5901013648,慶昌藥局,臺北市松山區延吉街２９號１樓,121.5537,25.04595,(02)25770820,0,無
5901013657,順儷中崙藥局,臺北市松山區八德路３段７４巷４８號１樓,121.5525,25.04685,(02)25796900,0,無
5901013693,民生盛康藥局,臺北市松山區民生東路５段２０４號１樓,121.5648,25.05826,(02)27460758,0,無
5901013700,杏一台北台安藥局,臺北市松山區八德路２段３９９號１樓,121.5465,25.04833,(02)87728295,0,快篩實名制販售時間為每天下午15:00，開賣前10分鐘發放號碼牌，售完為止
5901013719,大樹松山藥局,臺北市松山區民生東路５段１０７號１樓,121.5601,25.05878,(02)27562226,0,快篩實名制，每天16:00開始販售，售完為止。
5901013728,康麗藥局,臺北市松山區南京東路３段３０３巷２０號（１樓）,121.5468,25.05374,(02)27174117,0,無
5901013737,全欣藥局,臺北市松山區復興北路７３號２樓,121.5442,25.05104,(02)87729066,0,無
5901013746,富景藥局,臺北市松山區三民路１４５號１樓,121.5631,25.06078,(02)27455666,0,無
5901020303,宏恩藥局,臺北市大安區大安路１段１８１號,121.5461,25.03619,(02)27000956,0,快篩實名制，隨到隨買。
5901020376,靜園藥局,臺北市大安區和平東路２段１１８巷５７之１號,121.5429,25.02254,(02)27336390,0,實名制快篩每日下午2:00開始代售，售完為止
5901020385,延吉大藥局,臺北市大安區延吉街１５３號１樓,121.5548,25.04066,(02)27819227,0,無
5901020465,杏友藥局,臺北市大安區復興南路２段１５１巷２５號,121.5446,25.02847,(02)27079451,0,週一-週六 下午3:00開始發放快篩，發完為止
5901020554,師大藥局,臺北市大安區師大路９９號１樓,121.5285,25.02271,(02)23623479,0,實名制快篩試劑開賣時間下午2:30現場排隊
5901020563,施寶藥局,臺北市大安區安東街５０－５號１樓,121.5426,25.04277,(02)27114175,0,無
5901020616,龍護大藥局,臺北市大安區大安路１段２２４巷７號１Ｆ,121.5454,25.03401,(02)23250686,0,無
5901020634,新廣生藥局,臺北市大安區仁愛路４段３４號,121.5467,25.03762,(02)27071221,0,固定周日公休，實名制快篩因應政府滾動式配送，實際發放時間以現場為主
5901020661,泰佑藥局,臺北市大安區安和路２段７２號１Ｆ,121.5517,25.03011,(02)27056841,0,每日早上九點半
5901020689,四維藥局,臺北市大安區復興南路２段１５１巷４３號１樓,121.5454,25.02846,(02)27094222,0,假日可先打電話聯絡
5901020732,赫慶藥局,臺北市大安區瑞安街２０８巷１１弄５號１樓,121.5408,25.02866,(02)27063497,0,快篩代售時間：星期一至六上午9點開始，不發號碼牌，星期日停售
5901020787,吉成藥局,臺北市大安區泰順街７號,121.5316,25.02557,(02)23636475,0,每日下午三點發放號碼牌，同時間開始販賣實名制快篩，四點結束，週日無發放
5901020858,順天堂藥局,臺北市大安區龍泉街９６號,121.5292,25.02256,(02)23627149,0,營業時間:周一至周六9:30~22:00 禮拜日公休
5901020876,大興藥局,臺北市大安區通化街３９巷５０弄１５號１樓,121.5555,25.03056,(02)27053369,0,快篩試劑販售時間自08:30至20:30。（週日休息）
5901020901,辰安藥局,臺北市大安區大安路１段３１巷２８號,121.5472,25.04385,(02)27119536,0,無
5901021248,永誠藥局,臺北市大安區忠孝東路４段２１６巷２５之１號,121.5531,25.03997,(02)27520273,0,上午9:30發放（不發號碼牌）
5901021382,建如藥局,臺北市大安區和平東路３段２２８巷１１號１Ｆ,121.5543,25.02174,(02)27331456,0,營業時間  週一至週五 9:00至21:00   週六9:00至19:00   星期日休息
5901021408,生百藥局,臺北市大安區臨江街１２４號,121.5539,25.03024,(02)27371011,0,無
5901022601,生光藥局,臺北市大安區忠孝東路３段２４８巷２號,121.5412,25.04135,(02)27780862,0,下午兩點開始販售，周日及國定假日公休
5901022898,永康藥局,臺北市大安區麗水街６之２號,121.529,25.03289,(02)23279362,0,無
5901023073,世中欣藥局,臺北市大安區永康街２巷８號,121.5294,25.03315,(02)23938947,0,無
5901023215,大愛健康藥局,臺北市大安區敦化南路２段６３巷６５號,121.552,25.03103,(02)27092156,0,無
5901023304,麗樺藥師藥局,臺北市大安區麗水街３號,121.529,25.03225,(02)23952628,0,無
5901023313,安和藥局,臺北市大安區安和路１段１０２巷３號,121.5519,25.03433,(02)27092349,0,平日下午三點開始販賣賣完 78份結束
5901023331,佑安藥局,臺北市大安區延吉街２３３巷９號,121.5561,25.03708,(02)27069339,0,營業時間為下午兩點開始，週六不賣快篩
5901023386,弘昇藥局,臺北市大安區復興南路１段１０７巷３２號,121.5458,25.04349,(02)27110061,0,上午11點以後至晚上10點30分
5901023411,長虹藥局,臺北市大安區忠孝東路４段２１６巷 ６３號,121.5531,25.0382,(02)27210232,0,週一~週五10:00-22:00 週六週日10:30-19:30 販售實名制快篩
5901023519,惠盈藥局,臺北市大安區辛亥路２段１７１巷３１號,121.5412,25.02297,(02)87321366,0,無
5901023653,信安健康藥局,臺北市大安區仁愛路４段１２２巷５８號,121.5501,25.03392,(02)27084858,0,無
5901023680,新富川藥局,臺北市大安區大安路１段５１巷４號,121.5464,25.04303,(02)27114758,0,無提供急診服務
5901023831,康乃馨藥局,臺北市大安區建國南路１段３２７號,121.5382,25.03481,(02)23257097,0,週一至週五09:00-21:00，週六09:00-18:00；快篩代售、現場排隊
5901023902,惠良藥局,臺北市大安區和平東路３段９３－１號,121.5507,25.02461,(02)27387872,0,周六營業至下午四點 週日休息
5901024007,古亭健康人生藥局,臺北市大安區羅斯福路２段８３號,121.5237,25.02572,(02)23660895,0,營業時間9:30-21:30。
5901024098,杏一瑞安藥局,臺北市大安區瑞安街２０８巷１１弄１號,121.5406,25.02866,(02)27096710,0,無
5901024114,好安心藥局,臺北市大安區和平東路２段９８之２號,121.5415,25.02493,(02)23772166,0,無
5901024178,誠心藥局,臺北市大安區忠孝東路３段１９９－１號,121.5389,25.04188,(02)27527520,0,無
5901024221,安居藥局,臺北市大安區安居街１９號,121.5549,25.02085,(02)23773537,0,領快篩注意事項:週一到週六早上8:30-12:00 週一到週五晚上5:30-9:00 直接排隊購買 .週日不營業
5901024310,躍獅新生藥局,臺北市大安區和平東路２段２０號,121.5362,25.02566,(02)23623367,0,快篩發放時間0900-1800。星期一到星期日皆販售
5901024347,博大藥局,臺北市大安區安和路２段６５號,121.5526,25.03063,(02)27027858,0,若有配給．下午兩點開始販售。
5901024427,博昱仁愛藥局,臺北市大安區仁愛路４段６５號,121.5469,25.03821,(02)87739258,0,實名制快篩每周一~五，上午9點開賣.售完為止.婉謝零錢
5901024472,忠孝康承健保藥局,臺北市大安區復興南路１段１０７巷４號,121.5444,25.04357,(02)87733378,0,周一公休
5901024481,微笑藥師藥局,臺北市大安區信義路３段３１巷４號,121.5345,25.03401,(02)27009655,0,無
5901024490,明星大藥局,臺北市大安區光復南路４３０之１號,121.5574,25.03618,(02)27023747,0,無
5901024516,博昱師大藥局,臺北市大安區羅斯福路３段１８９號,121.5281,25.02109,(02)23696966,0,實名制快篩販售時間為下午14:00
5901024525,國泰維康藥局,臺北市大安區仁愛路４段２６６巷１５弄２０號,121.5541,25.03654,(02)27542185,0,無
5901024543,奇威藥局,臺北市大安區雲和街９３號,121.5312,25.02338,(02)23651110,0,無
5901024669,百岳藥局,臺北市大安區和平東路２段３１１巷１１號,121.5452,25.02514,(02)27551037,0,快篩試劑販售時間:周一至周五10:30~12:00止
5901024678,大安健康人生藥局,臺北市大安區信義路４段３４號,121.5447,25.03316,(02)27025553,0,快篩發放時間:下午3點開始-5點.並依序入場購買，請協助自備紙鈔
5901024687,博昱大藥局,臺北市大安區樂業街１４８號、１５０號,121.5529,25.01998,(02)23776199,0,快篩發放時間為周一至周六09-12&18-21
5901024696,仁華藥局,臺北市大安區臥龍街１５５號,121.5511,25.01834,(02)27336762,0,快篩實名制 :上午09:00開始，不發號碼牌
5901024703,吾家藥局,臺北市大安區信義路４段２６５巷６之１號,121.5542,25.03372,(02)27066425,0,實名制快篩於每日下午三點到四點開放 只限此時段販售 建議您於2點多到現場等候
5901024721,麗泰藥局,臺北市大安區復興南路２段１５１巷４號,121.544,25.02832,(02)27079595,0,每天到貨時間不定，到貨後即公告開賣
5901024767,杏一樂業藥局,臺北市大安區樂業街１６２號,121.5535,25.01958,(02)27383194,0,無
5901024838,昶青藥局,臺北市大安區濟南路３段２２之１號,121.5346,25.04008,(02)27515678,0,每天販售快篩實名制
5901024865,沛林東區生活藥粧藥局,臺北市大安區忠孝東路４段１８１巷７弄５號,121.551,25.04219,(02)27763759,0,每日早上11:00營業，若快篩有到貨，每日發放時間為下午2:00開始
5901024892,太醫藥局,臺北市大安區師大路１２號,121.5283,25.02568,(02)23685125,0,快篩發放時間:周一至周五13:30，無發放號碼牌
5901024918,康祥藥局,臺北市大安區忠孝東路４段２１６巷２１號,121.5531,25.04025,(02)27817891,0,週日早上11:00到晚上7:00
5901024945,威康藥局,臺北市大安區和平東路２段２９７號,121.5447,25.02495,(02)27061149,0,無
5901024954,佑全大安敦南藥局,臺北市大安區敦化南路２段６３巷４６號,121.5512,25.03089,(02)23257579,0,無
5901024981,專品六張犁藥局,臺北市大安區基隆路２段２１７號１樓,121.5513,25.02299,(02)87322226,0,兒童免費領取快篩於下午3點開始發放
5901025004,早安藥局,臺北市大安區建國南路２段１５１巷４２號１樓,121.5396,25.02865,(02)27002209,0,無
5901025013,頤品中西藥局,臺北市大安區浦城街２４之２號１樓,121.5267,25.02295,(02)23685656,0,無
5901025022,躍獅敦和藥局,臺北市大安區和平東路３段１０號,121.547,25.02453,(02)23785767,0,無
5901025031,中力信義藥局,臺北市大安區信義路４段５１號（１樓）,121.545,25.03354,(02)23250266,0,下午一點販售實名制快篩
5901025040,弘昌藥局,臺北市大安區通化街１３９號１樓,121.554,25.02901,(02)27321616,0,無
5901025059,博醫仁愛藥局,臺北市大安區仁愛路４段８巷２號１樓,121.5443,25.0375,(02)27019107,0,營業時間 : 每天早上08:00~晚上22:00
5901025068,鎮安中西安和藥局,臺北市大安區安和路１段１２３號１樓,121.5527,25.03488,(02)27015201,0,快篩試劑於每日9點開賣
5901025077,敦南春天藥局,臺北市大安區敦化南路２段８１巷６３號１樓,121.5513,25.03002,(02)27553266,0,快篩待售時間:週一至週日0900~2030，售完為止。（物流配送不及則例外，以門市公告為主）
5901090074,慈仁藥局,臺北市大同區歸綏街２６１號１樓,121.5101,25.05832,(02)25572733,0,平日營業至晚上6點，星期六營業至下午2點，星期日公休
5901090127,三銘大藥局,臺北市大同區迪化街１段８０號,121.5099,25.05581,(02)25583392,0,無
5901090154,柯藥局,臺北市大同區重慶北路３段３３５巷６號,121.5144,25.07452,(02)25948515,0,库存已零如何歸零
5901090181,時春藥局,臺北市大同區赤峰街４號,121.5191,25.05356,(02)25597918,0,無
5901090216,裕仁藥局,臺北市大同區迪化街２段２７０號－１,121.5115,25.07068,(02)25910064,0,無
5901090243,建祥藥局,臺北市大同區寧夏路１７號、１７－１號,121.515,25.05485,(02)25556476,0,10：00~18：00
5901090289,正利民藥局,臺北市大同區延平北路３段１０５號,121.511,25.06806,(02)25924842,0,每日下午2:00~4:00休息.
5901090323,泰元藥局,臺北市大同區哈密街９１號,121.5146,25.07303,(02)25914592,0,無
5901090341,正中藥局,臺北市大同區民族西路２１３號,121.5142,25.06874,(02)25976937,0,無
5901090369,保慶藥局,臺北市大同區保安街２１號,121.5129,25.05926,(02)25538988,0,無
5901091473,快安藥局,臺北市大同區南京西路２８２、２８４號,121.5146,25.05349,(02)25561925,0,無
5901091544,得意藥師藥局,臺北市大同區延平北路２段２２９號,121.5115,25.06029,(02)25534294,0,無
5901091624,健康美藥局,臺北市大同區民族西路１６５號,121.5155,25.06872,(02)25976707,0,快篩:星期一~星期六:AM::09:00
5901091688,宏泰藥師藥局,臺北市大同區酒泉街１２３號１樓,121.5145,25.07213,(02)25957025,0,無
5901091759,儷安藥局,臺北市大同區錦西街５３巷１６號,121.5158,25.06065,(02)25578033,0,無
5901091820,富康藥局,臺北市大同區延平北路２段１２６號,121.5115,25.05733,(02)25537782,0,代售快篩早上9:00開始售完為止
5901091857,佳禾藥局,臺北市大同區大龍街２６２號,121.5158,25.07061,(02)25953806,0,無
5901091884,躍獅雙蓮藥局,臺北市大同區涼州街４號,121.5147,25.06078,(02)25537551,0,實名制快篩：週一～五 下午３:00開賣 （週六停售）
5901092014,旭豐藥局,臺北市大同區昌吉街９６號,121.5151,25.06582,(02)25853880,0,無
5901092069,躍獅遠東藥局,臺北市大同區延平北路２段１３１號（實際營業地址：１樓）,121.5116,25.05751,(02)25594835,0,實名制快篩販賣時間：下午2點~下午3點★若有剩下，晚上7點~晚上8點才賣★不發號碼牌★
